Standardized_SMILES,CYP1A2,CYP2A6,CYP2B6,CYP2C19,CYP2C8,CYP2C9,CYP2D6,CYP2E1,CYP3A4
C/N=C(\NC)NCc1ccccc1,,,,,0.0,,,,
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccc(o2)COC/1,,0.0,0.0,,0.0,,,0.0,
C1=Cc2cc3ccc(cc4nc(cc5ccc(cc1n2)[nH]5)C=C4)[nH]3,,0.0,0.0,0.0,,,,0.0,
C1C2CC3CC1CC(C2)C3,0.0,0.0,,0.0,0.0,0.0,0.0,,
C1CC2CCCN2C1,0.0,,,0.0,0.0,0.0,,,
C1CCC2(C1)C1CN(CC3CC3)CC2CN(CC2CC2)C1,0.0,0.0,,0.0,0.0,0.0,,0.0,
C1CCN(C2CCNCC2)CC1,0.0,0.0,,0.0,0.0,0.0,,0.0,
C1CCNC1,0.0,,0.0,0.0,0.0,0.0,,,
C1CCOCC1,,,0.0,0.0,0.0,0.0,0.0,,
C1CCc2c(nc3nnnn3c2N2CCOCC2)C1,,,0.0,,0.0,0.0,,0.0,
C1CCc2c(nc3nnnn3c2NCC2CC2)C1,,0.0,0.0,,0.0,0.0,,0.0,
C1CCc2nnnn2CC1,,,0.0,0.0,0.0,0.0,,,
C1CNCCNCCCNCCNC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C1COC(NC(C2CC2)C2CC2)=N1,,0.0,,,0.0,0.0,,0.0,
C1COCCN1,0.0,0.0,,0.0,0.0,,0.0,,
C1COCCO1,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0
C1Cc2[nH]nc(-c3nn[nH]n3)c2C1,,,0.0,0.0,0.0,0.0,0.0,0.0,
C1N2CN3CN1CN(C2)C3,,,,0.0,0.0,0.0,,,
C=C(Br)CC1(C(C)C)C(=O)NC(=O)N(C)C1=O,,0.0,,,,,,0.0,
C=C(Br)CCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C(Br)CO,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
C=C(C#N)C(=O)OC(C)CCCCCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C(C#N)C(=O)OCCC(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C(C#N)C(=O)OCCCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C(C#N)C(=O)OCCCCCCCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C(C)CCO[P@@](=O)(O)OP(=O)(O)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C(C)CN(CC)C(=O)CN1C(=O)NC2(CCc3ccccc32)C1=O,,0.0,,,,,,0.0,
C=C(C)CN1C(=O)C2(OCCO2)c2ccccc21,,0.0,0.0,,0.0,,,0.0,
C=C(C)CNc1ccc(C(C)C(=O)O)cc1,0.0,0.0,0.0,,0.0,,0.0,0.0,
C=C(C)Cn1c(N)cc(=O)n(C)c1=O,,,,0.0,0.0,0.0,,,
C=C(C)Cn1c(SCCCO)nc2c1c(=O)[nH]c(=O)n2C,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C=C(C)[C@@H]1CC=C(CO)CC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C(C)[C@@H]1CC=C(COC(=O)NC(=O)c2ncn3c(=O)n(C)nnc23)CC1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C=C(C)[C@@H]1CCC(C)=C[C@H]1C1=C(O)C(=O)C(CCCCC)=C(NCc2ccccc2)C1=O,0.0,0.0,0.0,,,,,0.0,
C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCC)cc1O,,0.0,,,,,,,
C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)c(C(=O)O)c1O,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)c(CC(=O)O)c1O,0.0,0.0,0.0,0.0,,,0.0,0.0,
C=C(C)[C@@H]1CC[C@@]2(C)O[C@H]2C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C(C)[C@@H]1CC[C@]2(C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C(C)[C@@H]1CC[C@]2(CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C(C)[C@]12C[C@@H](C)[C@@]34O[C@](Cc5ccccc5)(O[C@@H]1[C@@H]3C=C(COC(=O)Cc1ccc(O)c(OC)c1)C[C@]1(O)C(=O)C(C)=C[C@@H]41)O2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C=C(C=N)CCc1ccc(F)cc1,,,0.0,,0.0,,,,
C=C(C=O)CCP(=O)(O)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C(CC(NC(=O)c1ccc(CCc2ccc3nc(N)nc(N)c3c2)cc1)C(=O)O)C(=O)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,,0.0,,,,,,0.0,
C=C(CCC[C@H](N)C(=O)O)C(=O)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
